interaction_id,timestamp,agent_id,agent_name,customer_id,customer_name,call_duration_seconds,issue_category,resolution_status,call_summary
13d2dad4-9519-44ab-a4e7-fb1aff312894,2025-05-29T19:05:53,2283849a-b4b9-4cf5-975b-316ac6da0127,Mr. Carlos Nelson MD,dc56f1fa-49ef-4ed0-97cf-3603fbf3d044,Terrance Kelly,1179,Complaint Resolution,Unresolved,Artist letter lot identify benefit quickly. Beautiful close exactly difficult interest. Couple among cause there.
d01866cb-18ff-4986-9e30-4ab38e2dbe00,2025-03-28T05:18:21,6ee7b48b-a94c-4a10-8da7-10a3f37f99c9,Susan Rhodes,6b82e9ad-2644-412c-8f49-9c74d50b43c7,Mrs. Erika Miller,623,Service Downgrade,Resolved,Field into agree agency million before feel.
ce42a33e-fa3c-41cf-8430-f996102b9a5a,2025-03-02T01:36:16,0cce3d63-2836-4a2d-b229-5e31024744c7,Samuel Huffman,f91a3758-2022-43f7-9abd-6b51484ac26f,Carlos Waters,529,Subscription Cancellation,Unresolved,Already knowledge want animal thing organization receive. Culture place government question police capital those. Beautiful field seven.
3b4a8bf6-dab1-4429-a558-4170320f6803,2025-03-27T20:07:31,65728c1f-f9c7-4c83-8f6a-61c35847c050,Natasha Krause,218dd7ed-5b30-403e-afed-48d75f50d318,Tristan Gordon,508,Product Information,Unresolved,Whole rock for democratic follow. Address everyone business data attorney summer sense reach. Plan enough blue compare system. This interest surface.
ccd3faa0-3736-4256-aeb2-5133ffbf9771,2025-06-30T18:06:41,65ddb6a8-af94-4134-8ca1-4b103230e382,Kelly Crawford,f6ef88c0-ce5d-400d-8c59-e2ab75e97e09,Amy Goodman,872,Technical Support,Resolved,Explain defense time. Central result example I prove.
ab70775d-9b53-4b4d-a9cf-a46167a2b52a,2025-01-31T23:54:24,1775422c-38ac-413a-accf-dc5f1fa80716,Savannah Ward,7cbb0c6c-3b74-4223-8bb5-5a57ec3be95a,Cheryl Robinson,156,Product Information,Unresolved,"Event people administration eat. To grow yourself five design agency.
Sea woman discover star land cup. Health style affect make none past."
dba3bb5d-37c7-4c6b-95f3-784ee15019fd,2025-04-17T09:09:27,d2179d2f-06c2-429e-8db9-e4956e546aa6,Howard Jackson,7144c71d-1074-4a20-afac-e76a33a15ba9,Michelle Lopez,1158,Complaint Resolution,Resolved,Pressure campaign share pay east go task relate. Then cup write clear sign student.
47a28af2-526e-4a4c-8bb3-6efebcb2b187,2025-04-01T13:44:25,0858cabf-5fd3-49b6-aefe-334d4a5f8865,Elizabeth Medina,8221a2e9-9907-400a-8bc6-88d0c8ebcffe,Jason Roberts,1193,Subscription Cancellation,Resolved,Cut team effort national foot citizen include. Friend many friend artist political skill. Watch relate pattern among whatever.
ea9f0b27-a315-4f2f-aaf3-56a43831193b,2025-07-13T13:41:55,788a0e66-8c13-44e4-9c80-9e6c4713ef48,Heather Duran,4adfa770-6125-46b3-8ccf-f7efb8249292,Vanessa Lopez,858,Product Information,Resolved,"Treatment total show machine Mrs.
Debate think poor campaign. This nation law hundred after second."
380d9714-bbc7-4846-8735-f45564bac3bc,2025-08-20T20:33:49,3d0c8497-a2f4-41ef-9958-2d9f283eb2b6,Glenda Miller,a893cc23-23d8-459d-90f0-43b56d832a54,Danielle Waters,354,Billing Inquiry,Resolved,Television attention store mean ever. Throughout market sea finish find ability money. Probably summer contain ten yard result.
c7f6d34c-a059-4f32-b3dc-91c899570a65,2025-04-30T11:37:56,c77d31f9-726e-4cd4-ab25-bde281f01795,Terri Erickson,61484364-1aab-46fd-83d9-e40aa094b64b,Emily Hernandez,1020,Login Issue,Unresolved,"By member once paper response finally time. Parent wide administration.
Maybe method natural. Mention certainly cultural control."
15d4cf04-44ed-417a-8ffd-66dae6b63a68,2025-01-23T14:26:08,d8e26b79-a1ea-45fd-9d01-65c1e1a389cd,Taylor Knox,811e6411-fcc8-4996-91e0-357a246a1ca5,Mackenzie Buchanan,860,Login Issue,Resolved,Half current trouble series consumer. Rest pull short see. Cause economic prove identify.
068faa5b-fe7b-4d3f-bba7-cccd619ea11b,2025-02-07T09:46:32,0858cabf-5fd3-49b6-aefe-334d4a5f8865,Elizabeth Medina,43ec1336-fa2d-4d1c-b56f-39ec4d935572,Alexandra Hendricks,1056,Complaint Resolution,Resolved,Claim network drive site. Step star property.
37cdce3c-03a8-454b-afc7-449b6126519c,2025-07-09T18:32:31,295639af-7f70-4d00-88ae-09fc141c53eb,Lisa Jones,7605c96d-fe07-400b-b65a-f45df16ada46,Lawrence Haynes,556,Product Information,Resolved,Ago should picture mother see low cover. Tough court since close.
acfa4ef9-0077-4d0b-b9f1-e1c74c2af08c,2025-02-26T19:49:37,6ee7b48b-a94c-4a10-8da7-10a3f37f99c9,Susan Rhodes,85cc18df-3092-4855-b4dd-9d3c4089ffe1,Michael Barnes,931,Billing Inquiry,Resolved,"Whom Congress figure some red daughter heart. Heart save street PM.
Air executive despite south. Through soldier actually."
